Fecha_creación;Id;Texto;Fuente;Truncado;Respuesta_al_tweet;Respuesta_al_usuario_id;Respuesta_al_usuario_nombre;geo;coordenadas;lugar;contribucion;lenguaje;retweeteado
2023-03-28 20:38:36+00:00;1640815674355486724;A Whisker Away - 3.5/5 ⭐️  turning into a cat to stalk your crush is very weird but I would totally do it too so…… https://t.co/b6Sw5u2XSU;Twitter Web App;True;1638268400186130432;1417936615498993667;luxxy_bee;;;;;en;False
2023-03-28 20:28:55+00:00;1640813239662530565;Trivia Question: Which actor voiced Barry B. Benson in The Bee Movie?  🫥🫥🫥🫥🫥🫥 Trivia Game🫥🫥 🫥🫥🫥🫥🖤  Order yours https://t.co/Oz5f7KXjLw;Twitter for Android;False;;;;;;;;en;False
2023-03-28 20:09:23+00:00;1640808322759643161;@riddlesbaee bee movie;Twitter for iPhone;False;1640808149400670224;1553757682087215105;riddlesbaee;;;;;en;False
2023-03-28 20:08:36+00:00;1640808125547806721;did my daily steps while watching the bee movie this afternoon. what is life;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 19:54:38+00:00;1640804609777192962;@draw_gregory I don’t see Bee Movie anywhere on this list;Twitter for iPhone;False;1640795123846873089;382443157;draw_gregory;;;;;en;False
2023-03-28 19:51:02+00:00;1640803704935796761;@Six_See_Bee_Bot @ChargePlaceScot Looks like something from a Mad Max movie;Twitter for iPhone;False;1640607435671973888;1613255904127864835;Six_See_Bee_Bot;;;;;en;False
2023-03-28 19:21:25+00:00;1640796249317339137;If Bumble Bee stayed a VW bug, he never transformed...he only identified and all the other Transformers laughed mer… https://t.co/AMmbrOpoFP;Twitter for iPhone;True;;;;;;;;en;False
2023-03-28 19:08:19+00:00;1640792953122852864;watching the bee movie rn and honestly, yeah it’s weird lmao;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 19:00:05+00:00;1640790880889245701;the bee movie side;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 18:56:44+00:00;1640790041126379530;@FuroFur This reminds me of the bee movie “you like jazz”;Twitter for iPhone;False;1640745571676766211;1608472633011585027;FuroFur;;;;;en;False
2023-03-28 18:45:41+00:00;1640787258121789451;"‘Dungeons &amp; Dragons: Honor Among Thieves’ fun but gets carried away with itself | Movie review https://t.co/2IzuUjIArN";SocialFlow;False;;;;;;;;en;False
2023-03-28 18:42:06+00:00;1640786356040527872;@coach_enjoying This is a Nicholas Caged Bee Movie;Twitter Web App;False;1640786011801133083;1121411573648691201;coach_enjoying;;;;;en;False
2023-03-28 18:41:43+00:00;1640786262318522392;@SallyIsADog Did you... did you just copy and paste the opening scene of the bee movie?;Twitter for Android;False;1640783637321752591;1087869803166138368;SallyIsADog;;;;;en;False
2023-03-28 18:39:48+00:00;1640785778811740180;@ray_ray200108 Bee movie game;Twitter for Android;False;1640785693134692352;1390193917019185158;ray_ray200108;;;;;en;False
2023-03-28 18:26:17+00:00;1640782376564568066;@AllSystemsWrite I think so!! I don’t think I ever watched the movie he’s from 😅;Twitter for iPhone;False;1640766628236500993;1327605083622748163;AllSystemsWrite;;;;;en;False
2023-03-28 18:20:57+00:00;1640781035360120832;RT @siyyaninaas: im gonna be so disappointed if this movie sucks bc these pictures are making me so excited;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 18:19:33+00:00;1640780683789443072;RT @JuddLegum: By the way, if you have @DisneyPlus, you can stream this movie;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 18:00:29+00:00;1640775882141757440;Bee Movie deita no soco o Resident Evil da Netflix  https://t.co/DxytZvddmQ https://t.co/zIAWi8LkUH;Twitter Web App;False;;;;;;;;en;False
2023-03-28 17:56:17+00:00;1640774825856696320;@japagostosaaa com seu video de bee movie?;Twitter for iPhone;False;1640773558711271425;1562528577706348544;japagostosaaa;;;;;en;False
2023-03-28 17:53:59+00:00;1640774247227203589;@wee_liam_bee @onedozenhundred @iiawesomej Not as weird as paying for a movie you don’t want to watch;Twitter for iPhone;False;1640773599932956674;750422692063510528;wee_liam_bee;;;;;en;False
2023-03-28 17:52:08+00:00;1640773780715741197;RT @CursedAni: Bee Movie (2007) - Dreamworks https://t.co/pDcTE83ojI;Twitter for Android;False;;;;;;;;en;False
2023-03-28 17:51:24+00:00;1640773599932956674;@tavotabotatoGIR @onedozenhundred @iiawesomej Pirating a movie you don't want to watch is weird;Twitter for Android;False;1640765812037353486;1613266199801896977;tavotabotatoGIR;;;;;en;False
2023-03-28 17:39:53+00:00;1640770698468552704;My seinpeaks head cannon  Seinfeld = Twin Peaks Bee Movie = Twin Peaks Fire Walk With Me Curb Your Enthusiasm = Twin Peaks The Return;Twitter for Android;False;;;;;;;;en;False
2023-03-28 17:35:24+00:00;1640769572289519638;@DarkEden21 @pickle_bee Shiv and Sammy  Star in the 2023  Surprise movie Block Buster  'Cannibal Farm'  starring su… https://t.co/jQKbklnOeC;Twitter Web App;True;1640767160405426192;155223035;DarkEden21;;;;;en;False
2023-03-28 17:28:48+00:00;1640767911496400896;RT @MetaMask: 🚨There are quite a few false rumors going around about a MetaMask snapshot/airdrop/etc. on March 31.  These rumors are not on…;Twitter Web App;False;;;;;;;;en;False
2023-03-28 17:28:31+00:00;1640767840109334528;@passytee hmm but I want to suggest the stage that shows inside of a computer.;Twitter Web App;False;1640766199406657537;370562585;passytee;;;;;en;False
2023-03-28 17:24:12+00:00;1640766754845761536;@paulcryptoadv 🫡🫡thank you!!;Twitter Web App;False;1640766328280678415;1453360993761992713;paulcryptoadv;;;;;en;False
2023-03-28 17:23:48+00:00;1640766651623952385;RT @paulcryptoadv: I was right, congratulations to everyone who listened to me 🐸❤ https://t.co/GoObYH9g6p;Twitter Web App;False;;;;;;;;en;False
2023-03-28 17:23:14+00:00;1640766510024261632;"@passytee GM Pas !! love volcano map &lt;3 how about space map with rainbow road";Twitter Web App;False;1640766199406657537;370562585;passytee;;;;;en;False
2023-03-28 17:22:23+00:00;1640766294403481600;RT @passytee: Need more stage ideas. Mechanics too. Crazier the better 🙏 and a gm to you ☕️;Twitter Web App;False;;;;;;;;en;False
2023-03-28 17:12:11+00:00;1640763728948854815;@IGN Yeah, you want to milk it till it becomes trash. How many successful movie franchises have ended that way? (St… https://t.co/Uj6nReZ9mh;Twitter Web App;True;1640413650576916489;18927441;IGN;;;;;en;False
2023-03-28 16:58:08+00:00;1640760192265773057;RT @billboardcharts: This week's top-selling songs:  1. #Jimin Set Me Free, Pt. 2 2. @taylorswift13 All of the Girls You Loved Before 3. @I…;Twitter for Android;False;;;;;;;;en;False
2023-03-28 16:55:34+00:00;1640759546179190795;RT @officialavatar: Today, the movie of a generation comes home. Buy #AvatarTheWayOfWater on Digital and get access to over three hours of…;Twitter for iPhone;False;;;;;;;;en;False
2023-03-28 16:32:12+00:00;1640753666851237889;I watched Megamind, the chipmunks and bee movie on loop on those things, specially on travels, we're not 10yo man,… https://t.co/lAUeymiT85;Twitter for Android;True;;;;;;;;en;False
2023-03-28 16:19:21+00:00;1640750434867634176;Nothing comes in mind, Lucy Montgomery, bee movie, I don't do books 😹 https://t.co/8zyjcjvrfK;Twitter for Android;False;;;;;;;;en;False
2023-03-28 16:17:38+00:00;1640750002757840896;you should make a bot that makes Bee Movie OCs with the specialest powers;Cheap Bots, Done Quick!;False;;;;;;;;en;False
2023-03-28 16:13:23+00:00;1640748931545006090;you, me, netflix, chill, bee movie .  yes or yes ?;Twitter for iPhone;False;;;;;;;;en;False
