Fecha_creación;Id;Texto;Fuente;Truncado;Respuesta_al_tweet;Respuesta_al_usuario_id;Respuesta_al_usuario_nombre;geo;coordenadas;lugar;contribucion;lenguaje;retweeteado
2023-03-28 20:10:43+00:00;1640808656009854977;if this project takes as long as I think it will, I will be supplementing it with an effort to stream more;Twitter for iPhone;False;;;;;;;;en;False
2023-03-26 23:44:31+00:00;1640137685561126913;see all of you in 3 months https://t.co/PJkV9oOKP0;Twitter Web App;False;;;;;;;;en;False
2023-03-25 21:51:38+00:00;1639746892157583360;@OzzyBozzer imagine dragons bones;Twitter for iPhone;False;1639746779485818881;710006768852705280;OzzyBozzer;;;;;en;False
2023-03-25 21:50:20+00:00;1639746565505191937;I taught my cat how to play fetch it was very easy had funtime https://t.co/88ARHnwjh5… https://t.co/Pv7EQBkIlE;Twitter for iPhone;True;;;;;;;;en;False
2023-03-25 11:39:38+00:00;1639592878115807236;would you be ok with a video of mine that has the same amount of gameplay but longer cutscenes because it’s a cinematic game;Twitter for iPhone;False;;;;;;;;en;False
2023-03-22 22:16:06+00:00;1638665883437649920;Next video I’m going to do 10 push-ups every time I get distracted by a YouTube video while editing;Twitter for iPhone;False;;;;;;;;en;False
