Id;Dia;UserId;Texto;Puntuacion;Animo
0;2023-03-28;realmax0r;if this project takes as long as I think it will, I will be supplementing it with an effort to stream more;0.0;Neutral
1;2023-03-26;realmax0r;see all of you in 3 months https://t.co/PJkV9oOKP0;0.0;Neutral
2;2023-03-25;realmax0r;@OzzyBozzer imagine dragons bones;0.0;Neutral
3;2023-03-25;realmax0r;I taught my cat how to play fetch it was very easy had funtime https://t.co/88ARHnwjh5… https://t.co/Pv7EQBkIlE;0.6801;Positive
4;2023-03-25;realmax0r;would you be ok with a video of mine that has the same amount of gameplay but longer cutscenes because it’s a cinematic game;0.1531;Positive
5;2023-03-22;realmax0r;Next video I’m going to do 10 push-ups every time I get distracted by a YouTube video while editing;-0.34;Negative
